koi_period,koi_duration,koi_depth,koi_model_snr,koi_impact,koi_time0bk,koi_steff,koi_slogg,koi_srad,koi_smet,koi_kepmag,duty_cycle,rp_rs,koi_disposition
2.701.287.801,338.270,"8,60E+06",48.30,1.0160,1.706.957.900,5550.00,4.468,9.100,-400,15.540,"0,000005217727385","2,933257575",FALSE POSITIVE
4.498.765.110,373.620,"4,60E+06",29.50,3.120,1.713.490.500,6075.00,4.486,9.690,-1.200,15.395,"0,000003460394046","2,144761059",CONFIRMED
19.651.209.505,525.140,"1,18E+08",513.40,7.230,1.794.019.810,6074.00,4.391,1.0630,-1.200,15.536,"0,000001113459878","10,84711943",FALSE POSITIVE
5.412.203.927,294.720,"6,02E+06",166.70,7.870,1.331.430.890,5779.00,4.339,1.0870,-600,12.791,"0,000002268946286","2,452753555",CONFIRMED
41.439.586.620,1.059.890,"2,79E+07",141.10,3.550,2.089.320.300,5468.00,4.367,1.0460,2.200,15.400,"0,00000106569797","5,284978713",CONFIRMED
8.353.895.230,225.140,"1,04E+07",43.40,230,1.716.325.700,5592.00,4.582,7.870,-2.800,15.317,"0,000001122929253","3,227382841",CONFIRMED
4.125.543.472,317.440,"1,49E+07",128.60,5.970,1.697.525.850,6174.00,4.417,1.1030,1.000,15.506,"0,000003206042248","3,856552865",CONFIRMED
2.816.504.904,250.587,"1,68E+08",1406.80,1.050,1.709.676.846,5532.00,4.452,9.550,1.400,15.052,"0,000003707121186","12,96688089",CONFIRMED
33.933.734.470,1.456.100,"8,50E+07",236.10,8.120,1.866.760.800,5040.00,4.628,7.050,-2.400,15.716,"0,000001787920908","9,221550846",FALSE POSITIVE
3.689.920.099,265.570,"4,27E+06",35.60,1.510,1.703.657.100,5880.00,4.518,9.170,-600,15.242,"0,000002998822839","2,065671804",CONFIRMED
4.431.238.488,315.000,"1,01E+07",71.10,4.050,1.710.150.000,5714.00,4.428,1.0150,1.600,15.367,"0,000002961925889","3,179465364",CONFIRMED
11.379.369.860,262.550,"1,02E+07",37.90,9.110,1.338.499.200,5714.00,4.428,1.0150,1.600,15.367,"0,0000009613522952","3,199218655",CONFIRMED
26.394.328.970,357.300,"1,51E+07",48.20,6.020,1.760.545.900,5129.00,4.595,7.630,200,15.234,"0,0000005640416173","3,887029714",CONFIRMED
13.570.782.810,335.390,"5,12E+06",88.40,8.660,1.362.791.940,5854.00,4.406,1.0120,-1.200,12.882,"0,000001029755139","2,26207869",CONFIRMED
7.125.943.870,300.140,"1,92E+06",47.10,8.980,1.390.049.200,5779.00,4.339,1.0870,-600,12.791,"0,000001754972192","1,387083271",CONFIRMED
7.442.652.004,230.780,"2,44E+08",835.60,1.370,1.699.717.797,6108.00,4.469,9.560,-3.000,15.270,"0,000001291990184","15,63521666",FALSE POSITIVE
16.384.899.880,302.490,"1,13E+07",28.90,10,1.727.278.200,4126.00,4.661,6.150,400,15.095,"0,0000007692296012","3,357231002",CONFIRMED
7.877.416.300,208.050,"1,31E+07",38.70,410,1.763.759.000,4126.00,4.661,6.150,400,15.095,"0,000001100455996","3,614000553",CONFIRMED
36.445.400.100,400.700,"1,12E+07",21.70,280,1.516.012.500,4126.00,4.661,6.150,400,15.095,"0,0000004581053655","3,350074626",CONFIRMED
3.728.732.147,268.300,"5,23E+07",345.20,5.580,1.717.932.550,5497.00,4.577,8.090,-1.000,15.523,"0,000002998114701","7,229453645",CONFIRMED
40.419.503.700,336.200,"6,26E+07",36.90,9.110,1.735.646.900,5446.00,4.507,7.810,-5.400,15.487,"0,0000003465736105","7,909487973",CANDIDATE
2.243.380.573,111.960,"8,22E+06",38.90,9.150,1.706.792.330,4149.00,4.698,5.640,-3.200,15.135,"0,000002079451011","2,866531005",CONFIRMED
10.405.998.015,650.360,"1,45E+08",745.20,3.240,1.771.974.660,5746.00,4.393,9.240,-5.400,15.562,"0,000002604107102","12,03702621",FALSE POSITIVE
2.337.437.946,199.820,"9,71E+06",82.40,2.800,1.717.619.820,5005.00,4.595,7.650,1.400,15.334,"0,000003561948392","3,116408189",CONFIRMED
7.240.661.200,55.800,"5,56E+06",13.70,1.1980,1.377.554.500,5005.00,4.595,7.650,1.400,15.334,"0,0000003211032716","2,358813261",CANDIDATE
3.435.916.310,313.300,"2,32E+05",8.70,6.240,1.326.624.000,5779.00,4.339,1.0870,-600,12.791,"0,000003799326144","0,4816637832",CANDIDATE
11.598.222.330,252.370,"2,80E+07",71.00,6.790,1.803.953.760,3688.00,4.790,4.730,0,15.937,"0,0000009066403771","5,295753015",CONFIRMED
6.575.315.881,430.840,"2,79E+07",221.10,3.900,1.736.340.440,5992.00,4.415,9.890,-3.200,15.312,"0,000002730160344","5,285167925",CONFIRMED
7.275.040.844,753.770,"3,00E+07",312.10,5.470,1.699.942.170,5485.00,4.556,8.670,2.100,15.080,"0,000004317100619","5,47813837",CONFIRMED
19.271.538.920,275.940,"1,22E+07",37.10,310,1.867.709.300,4077.00,4.702,5.600,-2.400,15.385,"0,0000005966051828","3,492563528",CONFIRMED
