koi_period,koi_duration,koi_depth,koi_model_snr,koi_impact,koi_time0bk,koi_steff,koi_slogg,koi_srad,koi_smet,koi_kepmag,duty_cycle,rp_rs,koi_disposition
3689920099,265570,4267000,35.60,1510,1703657100,5880.00,4518,9170,-600,15242,"0,000002998822839","2,065671804",CONFIRMED
4431238488,315000,10109000,71.10,4050,1710150000,5714.00,4428,-639172,1600,15367,"0,000002961925889","3,179465364",CONFIRMED
11379369860,262550,10235000,37.90,9110,1338499200,5714.00,4428,-639172,1600,15367,"0,0000009613522952","3,199218655",CONFIRMED
26394328970,357300,15109000,48.20,6020,1760545900,5129.00,4595,7630,200,15234,"0,0000005640416173","3,887029714",CONFIRMED
13570782810,335390,5117000,88.40,8660,1362791940,5854.00,4406,-650130,-1200,12882,"0,000001029755139","2,26207869",CONFIRMED
7125943870,300140,1924000,47.10,8980,1390049200,5779.00,4339,-376197,-600,12791,"0,000001754972192","1,387083271",CONFIRMED
7442652004,230780,244460000,835.60,1370,1699717797,6108.00,4469,9560,-3000,15270,"0,000001291990184","15,63521666",FALSE POSITIVE
16384899880,302490,11271000,28.90,10,1727278200,4126.00,4661,6150,400,15095,"0,0000007692296012","3,357231002",CONFIRMED
7877416300,208050,13061000,38.70,410,1763759000,4126.00,4661,6150,400,15095,"0,000001100455996","3,614000553",CONFIRMED
36445400100,400700,11223000,21.70,280,1516012500,4126.00,4661,6150,400,15095,"0,0000004581053655","3,350074626",CONFIRMED
3728732147,268300,52265000,345.20,5580,1717932550,5497.00,4577,8090,-1000,15523,"0,000002998114701","7,229453645",CONFIRMED
40419503700,336200,62560000,36.90,9110,1735646900,5446.00,4507,7810,-5400,15487,"0,0000003465736105","7,909487973",CANDIDATE
2243380573,111960,8217000,38.90,9150,1706792330,4149.00,4698,5640,-3200,15135,"0,000002079451011","2,866531005",CONFIRMED
10405998015,650360,144890000,745.20,3240,1771974660,5746.00,4393,9240,-5400,15562,"0,000002604107102","12,03702621",FALSE POSITIVE
2337437946,199820,9712000,82.40,2800,1717619820,5005.00,4595,7650,1400,15334,"0,000003561948392","3,116408189",CONFIRMED
7240661200,55800,5564000,13.70,29221,1377554500,5005.00,4595,7650,1400,15334,"0,0000003211032716","2,358813261",CANDIDATE
3435916310,313300,232000,8.70,6240,1326624000,5779.00,4339,-376197,-600,12791,"0,000003799326144","0,4816637832",CANDIDATE
11598222330,252370,28045000,71.00,6790,1803953760,3688.00,4790,4730,0,15937,"0,0000009066403771","5,295753015",CONFIRMED
6575315881,430840,27933000,221.10,3900,1736340440,5992.00,4415,9890,-3200,15312,"0,000002730160344","5,285167925",CONFIRMED
7275040844,753770,30010000,312.10,5470,1699942170,5485.00,4556,8670,2100,15080,"0,000004317100619","5,47813837",CONFIRMED
